Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.768271e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1
step 00000 (0.0%) | loss: 9.011566 | lrm: 1.00 | dt: 18850ms | tok/sec: 6,953 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00735 (49.6%) | loss: 3.155796 | lrm: 0.67 | dt: 203ms | tok/sec: 644,151 | mfu: 18.0% | epoch: 1 | remaining: 151s    
step 00736 (49.7%) | loss: 3.153492 | lrm: 0.67 | dt: 204ms | tok/sec: 641,592 | mfu: 17.9% | epoch: 1 | remaining: 151s    
step 00737 (49.8%) | loss: 3.147992 | lrm: 0.67 | dt: 203ms | tok/sec: 644,855 | mfu: 18.0% | epoch: 1 | remaining: 150s    
step 00738 (49.8%) | loss: 3.142264 | lrm: 0.67 | dt: 205ms | tok/sec: 637,963 | mfu: 17.8% | epoch: 1 | remaining: 150s    
step 00739 (49.9%) | loss: 3.138668 | lrm: 0.67 | dt: 213ms | tok/sec: 615,004 | mfu: 17.2% | epoch: 1 | remaining: 150s    
step 00740 (50.0%) | loss: 3.136647 | lrm: 0.67 | dt: 216ms | tok/sec: 606,276 | mfu: 17.0% | epoch: 1 | remaining: 150s    
step 00741 (50.1%) | loss: 3.144593 | lrm: 0.67 | dt: 219ms | tok/sec: 599,866 | mfu: 16.8% | epoch: 1 | remaining: 150s    
step 00742 (50.1%) | loss: 3.150814 | lrm: 0.66 | dt: 217ms | tok/sec: 604,865 | mfu: 16.9% | epoch: 1 | remaining: 149s    
step 00743 (50.2%) | loss: 3.152996 | lrm: 0.66 | dt: 216ms | tok/sec: 607,269 | mfu: 17.0% | epoch: 1 | remaining: 149s    
step 00744 (50.3%) | loss: 3.151238 | lrm: 0.66 | dt: 216ms | tok/sec: 605,750 | mfu: 16.9% | epoch: 1 | remaining: 149s    
step 00745 (50.3%) | loss: 3.149879 | lrm: 0.66 | dt: 219ms | tok/sec: 599,467 | mfu: 16.8% | epoch: 1 | remaining: 149s    
step 00746 (50.4%) | loss: 3.149165 | lrm: 0.66 | dt: 219ms | tok/sec: 599,304 | mfu: 16.8% | epoch: 1 | remaining: 149s    
step 00747 (50.5%) | loss: 3.149735 | lrm: 0.66 | dt: 216ms | tok/sec: 606,986 | mfu: 17.0% | epoch: 1 | remaining: 148s    
step 00748 (50.6%) | loss: 3.151117 | lrm: 0.66 | dt: 215ms | tok/sec: 609,512 | mfu: 17.1% | epoch: 1 | remaining: 148s    
step 00749 (50.6%) | loss: 3.143538 | lrm: 0.66 | dt: 214ms | tok/sec: 612,750 | mfu: 17.1% | epoch: 1 | remaining: 148s    
step 00750 (50.7%) | loss: 3.146335 | lrm: 0.66 | dt: 215ms | tok/sec: 610,111 | mfu: 17.1% | epoch: 1 | remaining: 148s    
step 00751 (50.8%) | loss: 3.139067 | lrm: 0.66 | dt: 206ms | tok/sec: 634,877 | mfu: 17.8% | epoch: 1 | remaining: 147s    
step 00752 (50.8%) | loss: 3.141952 | lrm: 0.66 | dt: 207ms | tok/sec: 634,440 | mfu: 17.7% | epoch: 1 | remaining: 147s    
step 00753 (50.9%) | loss: 3.137824 | lrm: 0.65 | dt: 208ms | tok/sec: 628,719 | mfu: 17.6% | epoch: 1 | remaining: 147s    
step 00754 (51.0%) | loss: 3.137855 | lrm: 0.65 | dt: 204ms | tok/sec: 641,911 | mfu: 18.0% | epoch: 1 | remaining: 147s    
step 00755 (51.1%) | loss: 3.131720 | lrm: 0.65 | dt: 201ms | tok/sec: 650,895 | mfu: 18.2% | epoch: 1 | remaining: 147s    
step 00756 (51.1%) | loss: 3.133872 | lrm: 0.65 | dt: 207ms | tok/sec: 632,212 | mfu: 17.7% | epoch: 1 | remaining: 146s    
step 00757 (51.2%) | loss: 3.137946 | lrm: 0.65 | dt: 205ms | tok/sec: 638,918 | mfu: 17.9% | epoch: 1 | remaining: 146s    
step 00758 (51.3%) | loss: 3.142882 | lrm: 0.65 | dt: 202ms | tok/sec: 647,361 | mfu: 18.1% | epoch: 1 | remaining: 146s    
step 00759 (51.3%) | loss: 3.152317 | lrm: 0.65 | dt: 206ms | tok/sec: 637,134 | mfu: 17.8% | epoch: 1 | remaining: 146s    
step 00760 (51.4%) | loss: 3.152266 | lrm: 0.65 | dt: 209ms | tok/sec: 628,340 | mfu: 17.6% | epoch: 1 | remaining: 146s    
step 00761 (51.5%) | loss: 3.150528 | lrm: 0.65 | dt: 209ms | tok/sec: 627,787 | mfu: 17.6% | epoch: 1 | remaining: 145s    
step 00762 (51.5%) | loss: 3.155436 | lrm: 0.65 | dt: 205ms | tok/sec: 640,124 | mfu: 17.9% | epoch: 1 | remaining: 145s    
step 00763 (51.6%) | loss: 3.155255 | lrm: 0.65 | dt: 220ms | tok/sec: 595,052 | mfu: 16.6% | epoch: 1 | remaining: 145s    
step 00764 (51.7%) | loss: 3.157480 | lrm: 0.64 | dt: 218ms | tok/sec: 601,113 | mfu: 16.8% | epoch: 1 | remaining: 145s    
step 00765 (51.7%) | loss: 3.156037 | lrm: 0.64 | dt: 221ms | tok/sec: 593,552 | mfu: 16.6% | epoch: 1 | remaining: 145s    
step 00766 (51.8%) | loss: 3.161148 | lrm: 0.64 | dt: 218ms | tok/sec: 601,072 | mfu: 16.8% | epoch: 1 | remaining: 144s    
step 00767 (51.9%) | loss: 3.157618 | lrm: 0.64 | dt: 214ms | tok/sec: 612,496 | mfu: 17.1% | epoch: 1 | remaining: 144s    
step 00768 (52.0%) | loss: 3.156462 | lrm: 0.64 | dt: 217ms | tok/sec: 603,420 | mfu: 16.9% | epoch: 1 | remaining: 144s    
step 00769 (52.0%) | loss: 3.159545 | lrm: 0.64 | dt: 217ms | tok/sec: 603,794 | mfu: 16.9% | epoch: 1 | remaining: 144s    
step 00770 (52.1%) | loss: 3.157771 | lrm: 0.64 | dt: 215ms | tok/sec: 609,892 | mfu: 17.1% | epoch: 1 | remaining: 143s    
step 00771 (52.2%) | loss: 3.158631 | lrm: 0.64 | dt: 215ms | tok/sec: 609,280 | mfu: 17.0% | epoch: 1 | remaining: 143s    
step 00772 (52.3%) | loss: 3.149447 | lrm: 0.64 | dt: 215ms | tok/sec: 608,407 | mfu: 17.0% | epoch: 1 | remaining: 143s    
step 00773 (52.3%) | loss: 3.148145 | lrm: 0.64 | dt: 216ms | tok/sec: 607,294 | mfu: 17.0% | epoch: 1 | remaining: 143s    
step 00774 (52.4%) | loss: 3.145814 | lrm: 0.63 | dt: 213ms | tok/sec: 616,095 | mfu: 17.2% | epoch: 1 | remaining: 143s    
step 00775 (52.5%) | loss: 3.150153 | lrm: 0.63 | dt: 206ms | tok/sec: 636,551 | mfu: 17.8% | epoch: 1 | remaining: 142s    
step 00776 (52.5%) | loss: 3.145322 | lrm: 0.63 | dt: 207ms | tok/sec: 632,276 | mfu: 17.7% | epoch: 1 | remaining: 142s    
step 00777 (52.6%) | loss: 3.142460 | lrm: 0.63 | dt: 207ms | tok/sec: 632,748 | mfu: 17.7% | epoch: 1 | remaining: 142s    
step 00778 (52.7%) | loss: 3.138604 | lrm: 0.63 | dt: 205ms | tok/sec: 638,923 | mfu: 17.9% | epoch: 1 | remaining: 142s    
step 00779 (52.7%) | loss: 3.132784 | lrm: 0.63 | dt: 205ms | tok/sec: 639,589 | mfu: 17.9% | epoch: 1 | remaining: 142s    
step 00780 (52.8%) | loss: 3.140027 | lrm: 0.63 | dt: 204ms | tok/sec: 641,355 | mfu: 17.9% | epoch: 1 | remaining: 141s    
step 00781 (52.9%) | loss: 3.137724 | lrm: 0.63 | dt: 204ms | tok/sec: 642,410 | mfu: 18.0% | epoch: 1 | remaining: 141s    
step 00782 (52.9%) | loss: 3.134727 | lrm: 0.63 | dt: 204ms | tok/sec: 642,021 | mfu: 18.0% | epoch: 1 | remaining: 141s    
step 00783 (53.0%) | loss: 3.140007 | lrm: 0.63 | dt: 204ms | tok/sec: 641,101 | mfu: 17.9% | epoch: 1 | remaining: 141s    
step 00784 (53.1%) | loss: 3.142751 | lrm: 0.63 | dt: 203ms | tok/sec: 645,843 | mfu: 18.1% | epoch: 1 | remaining: 141s    
step 00785 (53.2%) | loss: 3.137483 | lrm: 0.62 | dt: 203ms | tok/sec: 644,409 | mfu: 18.0% | epoch: 1 | remaining: 140s    
step 00786 (53.2%) | loss: 3.140293 | lrm: 0.62 | dt: 210ms | tok/sec: 623,594 | mfu: 17.4% | epoch: 1 | remaining: 140s    
step 00787 (53.3%) | loss: 3.141567 | lrm: 0.62 | dt: 223ms | tok/sec: 587,017 | mfu: 16.4% | epoch: 1 | remaining: 140s    
step 00788 (53.4%) | loss: 3.139775 | lrm: 0.62 | dt: 221ms | tok/sec: 591,852 | mfu: 16.6% | epoch: 1 | remaining: 140s    
step 00789 (53.4%) | loss: 3.140704 | lrm: 0.62 | dt: 221ms | tok/sec: 592,159 | mfu: 16.6% | epoch: 1 | remaining: 139s    
step 00790 (53.5%) | loss: 3.142137 | lrm: 0.62 | dt: 223ms | tok/sec: 587,608 | mfu: 16.4% | epoch: 1 | remaining: 139s    
step 00791 (53.6%) | loss: 3.140543 | lrm: 0.62 | dt: 217ms | tok/sec: 603,395 | mfu: 16.9% | epoch: 1 | remaining: 139s    
step 00792 (53.7%) | loss: 3.139451 | lrm: 0.62 | dt: 217ms | tok/sec: 603,997 | mfu: 16.9% | epoch: 1 | remaining: 139s    
step 00793 (53.7%) | loss: 3.145945 | lrm: 0.62 | dt: 215ms | tok/sec: 609,787 | mfu: 17.1% | epoch: 1 | remaining: 139s    
step 00794 (53.8%) | loss: 3.144891 | lrm: 0.62 | dt: 213ms | tok/sec: 614,267 | mfu: 17.2% | epoch: 1 | remaining: 138s    
step 00795 (53.9%) | loss: 3.128729 | lrm: 0.62 | dt: 215ms | tok/sec: 609,864 | mfu: 17.1% | epoch: 1 | remaining: 138s    
step 00796 (53.9%) | loss: 3.123199 | lrm: 0.61 | dt: 214ms | tok/sec: 611,777 | mfu: 17.1% | epoch: 1 | remaining: 138s    
step 00797 (54.0%) | loss: 3.124844 | lrm: 0.61 | dt: 215ms | tok/sec: 610,995 | mfu: 17.1% | epoch: 1 | remaining: 138s    
step 00798 (54.1%) | loss: 3.126729 | lrm: 0.61 | dt: 210ms | tok/sec: 623,204 | mfu: 17.4% | epoch: 1 | remaining: 138s    
step 00799 (54.2%) | loss: 3.123617 | lrm: 0.61 | dt: 208ms | tok/sec: 630,122 | mfu: 17.6% | epoch: 1 | remaining: 137s    
step 00800 (54.2%) | loss: 3.122952 | lrm: 0.61 | dt: 209ms | tok/sec: 628,534 | mfu: 17.6% | epoch: 1 | remaining: 137s    
step 00801 (54.3%) | loss: 3.120877 | lrm: 0.61 | dt: 207ms | tok/sec: 632,827 | mfu: 17.7% | epoch: 1 | remaining: 137s    
step 00802 (54.4%) | loss: 3.121185 | lrm: 0.61 | dt: 209ms | tok/sec: 628,591 | mfu: 17.6% | epoch: 1 | remaining: 137s    
step 00803 (54.4%) | loss: 3.121486 | lrm: 0.61 | dt: 208ms | tok/sec: 629,220 | mfu: 17.6% | epoch: 1 | remaining: 136s    
step 00804 (54.5%) | loss: 3.123487 | lrm: 0.61 | dt: 209ms | tok/sec: 627,679 | mfu: 17.6% | epoch: 1 | remaining: 136s    
step 00805 (54.6%) | loss: 3.127089 | lrm: 0.61 | dt: 207ms | tok/sec: 633,684 | mfu: 17.7% | epoch: 1 | remaining: 136s    
step 00806 (54.6%) | loss: 3.125444 | lrm: 0.60 | dt: 204ms | tok/sec: 643,965 | mfu: 18.0% | epoch: 1 | remaining: 136s    
step 00807 (54.7%) | loss: 3.128432 | lrm: 0.60 | dt: 204ms | tok/sec: 643,282 | mfu: 18.0% | epoch: 1 | remaining: 136s    
step 00808 (54.8%) | loss: 3.132021 | lrm: 0.60 | dt: 203ms | tok/sec: 646,001 | mfu: 18.1% | epoch: 1 | remaining: 135s    
step 00809 (54.8%) | loss: 3.127385 | lrm: 0.60 | dt: 205ms | tok/sec: 639,565 | mfu: 17.9% | epoch: 1 | remaining: 135s    
step 00810 (54.9%) | loss: 3.126456 | lrm: 0.60 | dt: 215ms | tok/sec: 610,985 | mfu: 17.1% | epoch: 1 | remaining: 135s    
step 00811 (55.0%) | loss: 3.131043 | lrm: 0.60 | dt: 217ms | tok/sec: 603,948 | mfu: 16.9% | epoch: 1 | remaining: 135s    
step 00812 (55.1%) | loss: 3.128986 | lrm: 0.60 | dt: 221ms | tok/sec: 591,799 | mfu: 16.6% | epoch: 1 | remaining: 135s    
step 00813 (55.1%) | loss: 3.127573 | lrm: 0.60 | dt: 223ms | tok/sec: 588,293 | mfu: 16.5% | epoch: 1 | remaining: 134s    
step 00814 (55.2%) | loss: 3.126892 | lrm: 0.60 | dt: 221ms | tok/sec: 592,754 | mfu: 16.6% | epoch: 1 | remaining: 134s    
step 00815 (55.3%) | loss: 3.125037 | lrm: 0.60 | dt: 222ms | tok/sec: 589,752 | mfu: 16.5% | epoch: 1 | remaining: 134s    
step 00816 (55.4%) | loss: 3.127596 | lrm: 0.60 | dt: 220ms | tok/sec: 596,058 | mfu: 16.7% | epoch: 1 | remaining: 134s    
step 00817 (55.4%) | loss: 3.122499 | lrm: 0.59 | dt: 219ms | tok/sec: 598,242 | mfu: 16.7% | epoch: 1 | remaining: 133s    
step 00818 (55.5%) | loss: 3.115522 | lrm: 0.59 | dt: 219ms | tok/sec: 598,902 | mfu: 16.8% | epoch: 1 | remaining: 133s    
step 00819 (55.6%) | loss: 3.118230 | lrm: 0.59 | dt: 215ms | tok/sec: 609,159 | mfu: 17.0% | epoch: 1 | remaining: 133s    
step 00820 (55.6%) | loss: 3.116810 | lrm: 0.59 | dt: 214ms | tok/sec: 611,424 | mfu: 17.1% | epoch: 1 | remaining: 133s    
step 00821 (55.7%) | loss: 3.118273 | lrm: 0.59 | dt: 212ms | tok/sec: 619,463 | mfu: 17.3% | epoch: 1 | remaining: 133s    
step 00822 (55.8%) | loss: 3.109461 | lrm: 0.59 | dt: 203ms | tok/sec: 646,067 | mfu: 18.1% | epoch: 1 | remaining: 132s    
step 00823 (55.9%) | loss: 3.102427 | lrm: 0.59 | dt: 204ms | tok/sec: 642,349 | mfu: 18.0% | epoch: 1 | remaining: 132s    
step 00824 (55.9%) | loss: 3.103323 | lrm: 0.59 | dt: 205ms | tok/sec: 639,077 | mfu: 17.9% | epoch: 1 | remaining: 132s    
step 00825 (56.0%) | loss: 3.109183 | lrm: 0.59 | dt: 203ms | tok/sec: 645,357 | mfu: 18.1% | epoch: 1 | remaining: 132s    
step 00826 (56.1%) | loss: 3.107418 | lrm: 0.59 | dt: 206ms | tok/sec: 637,809 | mfu: 17.8% | epoch: 1 | remaining: 132s    
step 00827 (56.1%) | loss: 3.107825 | lrm: 0.58 | dt: 208ms | tok/sec: 631,116 | mfu: 17.7% | epoch: 1 | remaining: 131s    
step 00828 (56.2%) | loss: 3.105941 | lrm: 0.58 | dt: 208ms | tok/sec: 629,497 | mfu: 17.6% | epoch: 1 | remaining: 131s    
step 00829 (56.3%) | loss: 3.107225 | lrm: 0.58 | dt: 207ms | tok/sec: 632,944 | mfu: 17.7% | epoch: 1 | remaining: 131s    
step 00830 (56.3%) | loss: 3.108414 | lrm: 0.58 | dt: 207ms | tok/sec: 634,361 | mfu: 17.7% | epoch: 1 | remaining: 131s    
step 00831 (56.4%) | loss: 3.106131 | lrm: 0.58 | dt: 207ms | tok/sec: 633,503 | mfu: 17.7% | epoch: 1 | remaining: 131s    
step 00832 (56.5%) | loss: 3.102323 | lrm: 0.58 | dt: 207ms | tok/sec: 631,684 | mfu: 17.7% | epoch: 1 | remaining: 130s    
step 00833 (56.5%) | loss: 3.106143 | lrm: 0.58 | dt: 205ms | tok/sec: 638,246 | mfu: 17.9% | epoch: 1 | remaining: 130s    
step 00834 (56.6%) | loss: 3.110377 | lrm: 0.58 | dt: 220ms | tok/sec: 596,931 | mfu: 16.7% | epoch: 1 | remaining: 130s    
step 00835 (56.7%) | loss: 3.108932 | lrm: 0.58 | dt: 218ms | tok/sec: 600,284 | mfu: 16.8% | epoch: 1 | remaining: 130s    
step 00836 (56.8%) | loss: 3.107094 | lrm: 0.58 | dt: 217ms | tok/sec: 602,905 | mfu: 16.9% | epoch: 1 | remaining: 130s    
step 00837 (56.8%) | loss: 3.109512 | lrm: 0.58 | dt: 216ms | tok/sec: 605,459 | mfu: 16.9% | epoch: 1 | remaining: 129s    
step 00838 (56.9%) | loss: 3.104461 | lrm: 0.57 | dt: 214ms | tok/sec: 611,512 | mfu: 17.1% | epoch: 1 | remaining: 129s    
step 00839 (57.0%) | loss: 3.106158 | lrm: 0.57 | dt: 217ms | tok/sec: 605,094 | mfu: 16.9% | epoch: 1 | remaining: 129s    
step 00840 (57.0%) | loss: 3.108780 | lrm: 0.57 | dt: 217ms | tok/sec: 602,902 | mfu: 16.9% | epoch: 1 | remaining: 129s    
step 00841 (57.1%) | loss: 3.109097 | lrm: 0.57 | dt: 217ms | tok/sec: 605,195 | mfu: 16.9% | epoch: 1 | remaining: 128s    
step 00842 (57.2%) | loss: 3.109284 | lrm: 0.57 | dt: 217ms | tok/sec: 605,050 | mfu: 16.9% | epoch: 1 | remaining: 128s    
step 00843 (57.3%) | loss: 3.099999 | lrm: 0.57 | dt: 216ms | tok/sec: 606,607 | mfu: 17.0% | epoch: 1 | remaining: 128s    
step 00844 (57.3%) | loss: 3.102445 | lrm: 0.57 | dt: 217ms | tok/sec: 604,656 | mfu: 16.9% | epoch: 1 | remaining: 128s    
step 00845 (57.4%) | loss: 3.099416 | lrm: 0.57 | dt: 211ms | tok/sec: 621,777 | mfu: 17.4% | epoch: 1 | remaining: 128s    
step 00846 (57.5%) | loss: 3.105009 | lrm: 0.57 | dt: 205ms | tok/sec: 638,624 | mfu: 17.9% | epoch: 1 | remaining: 127s    
step 00847 (57.5%) | loss: 3.111354 | lrm: 0.57 | dt: 203ms | tok/sec: 645,145 | mfu: 18.0% | epoch: 1 | remaining: 127s    
step 00848 (57.6%) | loss: 3.115865 | lrm: 0.57 | dt: 203ms | tok/sec: 645,223 | mfu: 18.1% | epoch: 1 | remaining: 127s    
step 00849 (57.7%) | loss: 3.115546 | lrm: 0.56 | dt: 204ms | tok/sec: 643,881 | mfu: 18.0% | epoch: 1 | remaining: 127s    
step 00850 (57.7%) | loss: 3.111356 | lrm: 0.56 | dt: 204ms | tok/sec: 642,406 | mfu: 18.0% | epoch: 1 | remaining: 127s    
step 00851 (57.8%) | loss: 3.105699 | lrm: 0.56 | dt: 204ms | tok/sec: 641,923 | mfu: 18.0% | epoch: 1 | remaining: 126s    
step 00852 (57.9%) | loss: 3.104964 | lrm: 0.56 | dt: 206ms | tok/sec: 634,936 | mfu: 17.8% | epoch: 1 | remaining: 126s    
step 00853 (58.0%) | loss: 3.104723 | lrm: 0.56 | dt: 209ms | tok/sec: 628,632 | mfu: 17.6% | epoch: 1 | remaining: 126s    
step 00854 (58.0%) | loss: 3.102230 | lrm: 0.56 | dt: 209ms | tok/sec: 626,383 | mfu: 17.5% | epoch: 1 | remaining: 126s    
step 00855 (58.1%) | loss: 3.096674 | lrm: 0.56 | dt: 208ms | tok/sec: 628,873 | mfu: 17.6% | epoch: 1 | remaining: 126s    
step 00856 (58.2%) | loss: 3.088974 | lrm: 0.56 | dt: 207ms | tok/sec: 631,784 | mfu: 17.7% | epoch: 1 | remaining: 125s    
step 00857 (58.2%) | loss: 3.091206 | lrm: 0.56 | dt: 217ms | tok/sec: 604,622 | mfu: 16.9% | epoch: 1 | remaining: 125s    
step 00858 (58.3%) | loss: 3.089080 | lrm: 0.56 | dt: 224ms | tok/sec: 584,994 | mfu: 16.4% | epoch: 1 | remaining: 125s    
step 00859 (58.4%) | loss: 3.087705 | lrm: 0.55 | dt: 224ms | tok/sec: 586,362 | mfu: 16.4% | epoch: 1 | remaining: 125s    
step 00860 (58.5%) | loss: 3.089853 | lrm: 0.55 | dt: 219ms | tok/sec: 599,424 | mfu: 16.8% | epoch: 1 | remaining: 124s    
step 00861 (58.5%) | loss: 3.093919 | lrm: 0.55 | dt: 215ms | tok/sec: 609,708 | mfu: 17.1% | epoch: 1 | remaining: 124s    
step 00862 (58.6%) | loss: 3.090864 | lrm: 0.55 | dt: 216ms | tok/sec: 607,559 | mfu: 17.0% | epoch: 1 | remaining: 124s    
step 00863 (58.7%) | loss: 3.091495 | lrm: 0.55 | dt: 217ms | tok/sec: 604,261 | mfu: 16.9% | epoch: 1 | remaining: 124s    
step 00864 (58.7%) | loss: 3.089344 | lrm: 0.55 | dt: 215ms | tok/sec: 609,283 | mfu: 17.0% | epoch: 1 | remaining: 124s    
step 00865 (58.8%) | loss: 3.084961 | lrm: 0.55 | dt: 214ms | tok/sec: 613,312 | mfu: 17.2% | epoch: 1 | remaining: 123s    
step 00866 (58.9%) | loss: 3.088765 | lrm: 0.55 | dt: 215ms | tok/sec: 609,962 | mfu: 17.1% | epoch: 1 | remaining: 123s    
step 00867 (59.0%) | loss: 3.091615 | lrm: 0.55 | dt: 217ms | tok/sec: 602,764 | mfu: 16.9% | epoch: 1 | remaining: 123s    
step 00868 (59.0%) | loss: 3.094098 | lrm: 0.55 | dt: 218ms | tok/sec: 601,785 | mfu: 16.8% | epoch: 1 | remaining: 123s    
step 00869 (59.1%) | loss: 3.098479 | lrm: 0.55 | dt: 208ms | tok/sec: 629,810 | mfu: 17.6% | epoch: 1 | remaining: 122s    
step 00870 (59.2%) | loss: 3.095410 | lrm: 0.54 | dt: 207ms | tok/sec: 631,759 | mfu: 17.7% | epoch: 1 | remaining: 122s    
step 00871 (59.2%) | loss: 3.103407 | lrm: 0.54 | dt: 207ms | tok/sec: 632,002 | mfu: 17.7% | epoch: 1 | remaining: 122s    
step 00872 (59.3%) | loss: 3.106138 | lrm: 0.54 | dt: 208ms | tok/sec: 630,298 | mfu: 17.6% | epoch: 1 | remaining: 122s    
step 00873 (59.4%) | loss: 3.100114 | lrm: 0.54 | dt: 206ms | tok/sec: 637,035 | mfu: 17.8% | epoch: 1 | remaining: 122s    
step 00874 (59.4%) | loss: 3.096774 | lrm: 0.54 | dt: 204ms | tok/sec: 642,744 | mfu: 18.0% | epoch: 1 | remaining: 121s    
step 00875 (59.5%) | loss: 3.098075 | lrm: 0.54 | dt: 205ms | tok/sec: 640,316 | mfu: 17.9% | epoch: 1 | remaining: 121s    
step 00876 (59.6%) | loss: 3.104004 | lrm: 0.54 | dt: 204ms | tok/sec: 641,790 | mfu: 18.0% | epoch: 1 | remaining: 121s    
step 00877 (59.7%) | loss: 3.098750 | lrm: 0.54 | dt: 205ms | tok/sec: 640,148 | mfu: 17.9% | epoch: 1 | remaining: 121s    
step 00878 (59.7%) | loss: 3.098218 | lrm: 0.54 | dt: 205ms | tok/sec: 639,537 | mfu: 17.9% | epoch: 1 | remaining: 121s    
step 00879 (59.8%) | loss: 3.099798 | lrm: 0.54 | dt: 204ms | tok/sec: 642,077 | mfu: 18.0% | epoch: 1 | remaining: 120s    
step 00880 (59.9%) | loss: 3.099199 | lrm: 0.54 | dt: 203ms | tok/sec: 644,111 | mfu: 18.0% | epoch: 1 | remaining: 120s    
step 00881 (59.9%) | loss: 3.100015 | lrm: 0.53 | dt: 220ms | tok/sec: 596,378 | mfu: 16.7% | epoch: 1 | remaining: 120s    
step 00882 (60.0%) | loss: 3.096347 | lrm: 0.53 | dt: 219ms | tok/sec: 597,701 | mfu: 16.7% | epoch: 1 | remaining: 120s    
step 00883 (60.1%) | loss: 3.105800 | lrm: 0.53 | dt: 221ms | tok/sec: 592,306 | mfu: 16.6% | epoch: 1 | remaining: 120s    
step 00884 (60.1%) | loss: 3.103588 | lrm: 0.53 | dt: 221ms | tok/sec: 593,455 | mfu: 16.6% | epoch: 1 | remaining: 119s    
step 00885 (60.2%) | loss: 3.106734 | lrm: 0.53 | dt: 220ms | tok/sec: 596,259 | mfu: 16.7% | epoch: 1 | remaining: 119s    
step 00886 (60.3%) | loss: 3.110046 | lrm: 0.53 | dt: 218ms | tok/sec: 600,180 | mfu: 16.8% | epoch: 1 | remaining: 119s    
step 00887 (60.4%) | loss: 3.111025 | lrm: 0.53 | dt: 219ms | tok/sec: 599,394 | mfu: 16.8% | epoch: 1 | remaining: 119s    
step 00888 (60.4%) | loss: 3.100893 | lrm: 0.53 | dt: 216ms | tok/sec: 607,108 | mfu: 17.0% | epoch: 1 | remaining: 118s    
step 00889 (60.5%) | loss: 3.088851 | lrm: 0.53 | dt: 214ms | tok/sec: 613,834 | mfu: 17.2% | epoch: 1 | remaining: 118s    
step 00890 (60.6%) | loss: 3.087417 | lrm: 0.53 | dt: 214ms | tok/sec: 611,720 | mfu: 17.1% | epoch: 1 | remaining: 118s    
step 00891 (60.7%) | loss: 3.085254 | lrm: 0.52 | dt: 214ms | tok/sec: 612,253 | mfu: 17.1% | epoch: 1 | remaining: 118s    
step 00892 (60.7%) | loss: 3.079881 | lrm: 0.52 | dt: 212ms | tok/sec: 619,300 | mfu: 17.3% | epoch: 1 | remaining: 118s    
step 00893 (60.8%) | loss: 3.082313 | lrm: 0.52 | dt: 202ms | tok/sec: 649,491 | mfu: 18.2% | epoch: 1 | remaining: 117s    
step 00894 (60.9%) | loss: 3.086099 | lrm: 0.52 | dt: 203ms | tok/sec: 645,094 | mfu: 18.0% | epoch: 1 | remaining: 117s    
step 00895 (60.9%) | loss: 3.088551 | lrm: 0.52 | dt: 209ms | tok/sec: 627,724 | mfu: 17.6% | epoch: 1 | remaining: 117s    
step 00896 (61.0%) | loss: 3.086282 | lrm: 0.52 | dt: 210ms | tok/sec: 625,421 | mfu: 17.5% | epoch: 1 | remaining: 117s    
step 00897 (61.1%) | loss: 3.086843 | lrm: 0.52 | dt: 207ms | tok/sec: 631,812 | mfu: 17.7% | epoch: 1 | remaining: 117s    
step 00898 (61.1%) | loss: 3.091315 | lrm: 0.52 | dt: 209ms | tok/sec: 627,370 | mfu: 17.6% | epoch: 1 | remaining: 116s    
step 00899 (61.2%) | loss: 3.087488 | lrm: 0.52 | dt: 209ms | tok/sec: 628,141 | mfu: 17.6% | epoch: 1 | remaining: 116s    
step 00900 (61.3%) | loss: 3.092763 | lrm: 0.52 | dt: 208ms | tok/sec: 631,385 | mfu: 17.7% | epoch: 1 | remaining: 116s    
step 00901 (61.3%) | loss: 3.089449 | lrm: 0.52 | dt: 205ms | tok/sec: 638,688 | mfu: 17.9% | epoch: 1 | remaining: 116s    
step 00902 (61.4%) | loss: 3.095923 | lrm: 0.51 | dt: 204ms | tok/sec: 642,425 | mfu: 18.0% | epoch: 1 | remaining: 116s    
step 00903 (61.5%) | loss: 3.091578 | lrm: 0.51 | dt: 205ms | tok/sec: 640,355 | mfu: 17.9% | epoch: 1 | remaining: 115s    
step 00904 (61.5%) | loss: 3.097848 | lrm: 0.51 | dt: 208ms | tok/sec: 630,945 | mfu: 17.7% | epoch: 1 | remaining: 115s    
step 00905 (61.6%) | loss: 3.098046 | lrm: 0.51 | dt: 218ms | tok/sec: 602,267 | mfu: 16.8% | epoch: 1 | remaining: 115s    
step 00906 (61.7%) | loss: 3.095765 | lrm: 0.51 | dt: 218ms | tok/sec: 600,977 | mfu: 16.8% | epoch: 1 | remaining: 115s    
